,t_word_diff,is_t_word_different,t_sent_diff,is_t_sent_different,n_uverb_diff,is_n_uverb_different,n_uadj_diff,is_n_uadj_different,simp_ttr_diff,is_simp_ttr_different,a_verb_pw_diff,is_a_verb_pw_different,corr_adj_var_diff,is_corr_adj_var_different,corr_verb_var_diff,is_corr_verb_var_different,fkgl_diff,is_fkgl_different,a_kup_pw_diff,is_a_kup_pw_different
claude3 $Diff_N$,-148.13,False,-1.63,False,-3.93,False,-46.03,True,-0.11,False,-0.0,False,-3.08,True,-0.31,False,-4.3,False,-1.53,True
claude3 $Diff_A$,-526.14,False,-7.98,False,-23.86,False,-133.5,True,-0.41,False,-0.0,False,-8.98,True,-1.75,False,-21.03,False,-5.34,True
gemini $Diff_N$,74.27,False,0.65,False,4.67,False,2.98,False,0.04,False,-0.0,False,-0.22,False,1.05,False,1.44,False,-0.65,False
gemini $Diff_A$,221.0,False,2.0,False,10.5,False,7.44,False,0.12,False,-0.03,False,-0.85,False,2.73,False,3.28,False,-1.79,False
gpt $Diff_N$,0.65,False,4.03,False,-1.19,False,-2.66,False,-0.03,False,-0.01,False,-0.17,False,-0.13,False,1.05,False,-0.67,False
gpt $Diff_A$,17.0,False,11.68,False,-3.68,False,-7.0,False,-0.1,False,-0.04,False,-0.43,False,-0.05,False,0.57,False,-1.75,False
command_r $Diff_N$,-236.11,True,-3.6,True,-0.97,True,-27.04,True,-0.23,True,0.0,False,-1.24,False,-1.08,True,-2.13,True,-1.09,True
command_r $Diff_A$,-727.0,True,-9.24,True,0.76,True,-68.5,True,-0.64,True,0.02,False,-2.89,False,-3.08,True,-5.5,True,-3.0,True
llama3_70b $Diff_N$,-333.03,True,-5.19,True,4.43,False,-21.38,True,-0.16,False,-0.03,False,-1.77,True,-0.03,False,1.87,False,-0.44,False
llama3_70b $Diff_A$,-687.34,True,-3.42,True,10.7,False,-61.64,True,-0.31,False,-0.04,False,-5.6,True,-0.89,False,3.0,False,-1.92,False
